id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
1791,"Kada Agrahara ,Bangalore",2,1050,0.75
1792,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1793,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1794,"Kattigenahalli,Bangalore",2,3000,1.08
1795,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1796,"Hancharahalli Village,Bangalore",3,1900,1.1
1797,"Margondanahalli,Bangalore",2,1000,1.2
1798,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1799,"Yelahanka,Bangalore",5,4000,6.6
1800,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1801,"Mattanahalli,Bangalore",3,1450,0.79
1802,"Mavalli,Bangalore",10,8000,5.5
1803,"Yadavanahalli,Bangalore",8,4800,1.1
1804,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1805,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1806,"Cheemasandra,Bangalore",3,920,0.8
1807,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1808,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1809,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1810,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1811,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1812,"Harapanahalli,Bangalore",4,6000,3.1
1813,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1814,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1815,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1816,"Hemmigepura,Bangalore",3,1500,1.3
1817,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1818,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1819,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1820,"Kada Agrahara ,Bangalore",2,1050,0.75
1821,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1822,"Hancharahalli Village,Bangalore",3,1900,1.1
1823,"Margondanahalli,Bangalore",2,1000,1.2
1824,"Rajajinagar,Bangalore",7,5000,4.3
1825,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1826,"Kattigenahalli,Bangalore",2,3000,1.08
1827,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1828,"Yelahanka,Bangalore",5,4000,6.6
1829,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1830,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1831,"Mattanahalli,Bangalore",3,1450,0.79
