id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
2497,"Rajajinagar,Bangalore",7,5000,4.3
2498,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2499,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2500,"Yelahanka,Bangalore",5,4000,6.6
2501,"Mattanahalli,Bangalore",3,1450,0.79
2502,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2503,"Mavalli,Bangalore",10,8000,5.5
2504,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2505,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2506,"Harapanahalli,Bangalore",4,6000,3.1
2507,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2508,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2509,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2510,"Hemmigepura,Bangalore",3,1500,1.3
2511,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2512,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2513,"Yadavanahalli,Bangalore",8,4800,1.1
2514,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2515,"Cheemasandra,Bangalore",3,920,0.8
2516,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2517,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2518,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2519,"Margondanahalli,Bangalore",2,1000,1.2
2520,"Hancharahalli Village,Bangalore",3,1900,1.1
2521,"Mattanahalli,Bangalore",3,1450,0.79
2522,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2523,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2524,"Hemmigepura,Bangalore",3,1500,1.3
2525,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2526,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2527,"Mavalli,Bangalore",10,8000,5.5
2528,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2529,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2530,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2531,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2532,"Harapanahalli,Bangalore",4,6000,3.1
2533,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2534,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2535,"Cheemasandra,Bangalore",3,920,0.8
2536,"Yadavanahalli,Bangalore",8,4800,1.1
2537,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2538,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2539,"Rajajinagar,Bangalore",7,5000,4.3
2540,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2541,"Kada Agrahara ,Bangalore",2,1050,0.75
2542,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2543,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2544,"Kattigenahalli,Bangalore",2,3000,1.08
2545,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2546,"Hancharahalli Village,Bangalore",3,1900,1.1
2547,"Margondanahalli,Bangalore",2,1000,1.2
2548,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2549,"Yelahanka,Bangalore",5,4000,6.6
2550,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2551,"Mattanahalli,Bangalore",3,1450,0.79
2552,"Mavalli,Bangalore",10,8000,5.5
2553,"Yadavanahalli,Bangalore",8,4800,1.1
2554,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2555,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2556,"Cheemasandra,Bangalore",3,920,0.8
2557,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2558,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2559,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2560,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2561,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2562,"Harapanahalli,Bangalore",4,6000,3.1
2563,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2564,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2565,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2566,"Hemmigepura,Bangalore",3,1500,1.3
2567,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2568,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2569,"Margondanahalli,Bangalore",2,1000,1.2
2570,"Hancharahalli Village,Bangalore",3,1900,1.1
2571,"Mattanahalli,Bangalore",3,1450,0.79
2572,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2573,"Harapanahalli,Bangalore",4,6000,3.1
2574,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2575,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2576,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2577,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2578,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2579,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2580,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2581,"Mavalli,Bangalore",10,8000,5.5
2582,"Hemmigepura,Bangalore",3,1500,1.3
2583,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2584,"Yadavanahalli,Bangalore",8,4800,1.1
2585,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2586,"Cheemasandra,Bangalore",3,920,0.8
2587,"Margondanahalli,Bangalore",2,1000,1.2
2588,"Hancharahalli Village,Bangalore",3,1900,1.1
2589,"Rajajinagar,Bangalore",7,5000,4.3
2590,"Kattigenahalli,Bangalore",2,3000,1.08
2591,"Mattanahalli,Bangalore",3,1450,0.79
2592,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2593,"Harapanahalli,Bangalore",4,6000,3.1
2594,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2595,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2596,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2597,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2598,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2599,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2600,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2601,"Mavalli,Bangalore",10,8000,5.5
2602,"Hemmigepura,Bangalore",3,1500,1.3
2603,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2604,"Yadavanahalli,Bangalore",8,4800,1.1
2605,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2606,"Cheemasandra,Bangalore",3,920,0.8
2607,"Margondanahalli,Bangalore",2,1000,1.2
2608,"Hancharahalli Village,Bangalore",3,1900,1.1
2609,"Rajajinagar,Bangalore",7,5000,4.3
2610,"Kattigenahalli,Bangalore",2,3000,1.08
2611,"Mattanahalli,Bangalore",3,1450,0.79
2612,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2613,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2614,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2615,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2616,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2617,"Hemmigepura,Bangalore",3,1500,1.3
2618,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2619,"Mavalli,Bangalore",10,8000,5.5
2620,"Harapanahalli,Bangalore",4,6000,3.1
2621,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2622,"Cheemasandra,Bangalore",3,920,0.8
2623,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2624,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2625,"Yadavanahalli,Bangalore",8,4800,1.1
2626,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2627,"Margondanahalli,Bangalore",2,1000,1.2
2628,"Hancharahalli Village,Bangalore",3,1900,1.1
2629,"Rajajinagar,Bangalore",7,5000,4.3
2630,"Kattigenahalli,Bangalore",2,3000,1.08
2631,"Mattanahalli,Bangalore",3,1450,0.79
2632,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2633,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2634,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2635,"Yadavanahalli,Bangalore",8,4800,1.1
2636,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2637,"Cheemasandra,Bangalore",3,920,0.8
2638,"Hemmigepura,Bangalore",3,1500,1.3
2639,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2640,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2641,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2642,"Harapanahalli,Bangalore",4,6000,3.1
2643,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2644,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2645,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2646,"Mavalli,Bangalore",10,8000,5.5
2647,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2648,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2649,"Kattigenahalli,Bangalore",2,3000,1.08
2650,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2651,"Rajajinagar,Bangalore",7,5000,4.3
2652,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2653,"Yelahanka,Bangalore",5,4000,6.6
2654,"Margondanahalli,Bangalore",2,1000,1.2
2655,"Hancharahalli Village,Bangalore",3,1900,1.1
2656,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2657,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2658,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2659,"Kada Agrahara ,Bangalore",2,1050,0.75
2660,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2661,"Mattanahalli,Bangalore",3,1450,0.79
2662,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2663,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2664,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2665,"Yadavanahalli,Bangalore",8,4800,1.1
2666,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2667,"Cheemasandra,Bangalore",3,920,0.8
2668,"Hemmigepura,Bangalore",3,1500,1.3
2669,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2670,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2671,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2672,"Harapanahalli,Bangalore",4,6000,3.1
2673,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2674,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2675,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2676,"Mavalli,Bangalore",10,8000,5.5
2677,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2678,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2679,"Margondanahalli,Bangalore",2,1000,1.2
2680,"Hancharahalli Village,Bangalore",3,1900,1.1
2681,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2682,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2683,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2684,"Yelahanka,Bangalore",5,4000,6.6
2685,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2686,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2687,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2688,"Rajajinagar,Bangalore",7,5000,4.3
2689,"Kada Agrahara ,Bangalore",2,1050,0.75
2690,"Kattigenahalli,Bangalore",2,3000,1.08
2691,"Mattanahalli,Bangalore",3,1450,0.79
2692,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2693,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2694,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2695,"Yadavanahalli,Bangalore",8,4800,1.1
2696,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2697,"Cheemasandra,Bangalore",3,920,0.8
2698,"Hemmigepura,Bangalore",3,1500,1.3
2699,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2700,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2701,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2702,"Harapanahalli,Bangalore",4,6000,3.1
2703,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2704,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2705,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2706,"Mavalli,Bangalore",10,8000,5.5
2707,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2708,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2709,"Margondanahalli,Bangalore",2,1000,1.2
2710,"Hancharahalli Village,Bangalore",3,1900,1.1
2711,"Mattanahalli,Bangalore",3,1450,0.79
2712,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2713,"Hemmigepura,Bangalore",3,1500,1.3
2714,"Mavalli,Bangalore",10,8000,5.5
2715,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2716,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2717,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2718,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2719,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2720,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2721,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2722,"Harapanahalli,Bangalore",4,6000,3.1
2723,"Yadavanahalli,Bangalore",8,4800,1.1
2724,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2725,"Cheemasandra,Bangalore",3,920,0.8
2726,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2727,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2728,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2729,"Rajajinagar,Bangalore",7,5000,4.3
2730,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2731,"Kada Agrahara ,Bangalore",2,1050,0.75
2732,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2733,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2734,"Kattigenahalli,Bangalore",2,3000,1.08
2735,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2736,"Hancharahalli Village,Bangalore",3,1900,1.1
2737,"Margondanahalli,Bangalore",2,1000,1.2
2738,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2739,"Yelahanka,Bangalore",5,4000,6.6
2740,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2741,"Mattanahalli,Bangalore",3,1450,0.79
2742,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2743,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2744,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2745,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2746,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2747,"Hemmigepura,Bangalore",3,1500,1.3
2748,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2749,"Mavalli,Bangalore",10,8000,5.5
2750,"Harapanahalli,Bangalore",4,6000,3.1
2751,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2752,"Cheemasandra,Bangalore",3,920,0.8
2753,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2754,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2755,"Yadavanahalli,Bangalore",8,4800,1.1
2756,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2757,"Margondanahalli,Bangalore",2,1000,1.2
2758,"Hancharahalli Village,Bangalore",3,1900,1.1
2759,"Rajajinagar,Bangalore",7,5000,4.3
2760,"Kattigenahalli,Bangalore",2,3000,1.08
2761,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2762,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2763,"Kada Agrahara ,Bangalore",2,1050,0.75
2764,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2765,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2766,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2767,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2768,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2769,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2770,"Yelahanka,Bangalore",5,4000,6.6
2771,"Mattanahalli,Bangalore",3,1450,0.79
2772,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2773,"Harapanahalli,Bangalore",4,6000,3.1
2774,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2775,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2776,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2777,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2778,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2779,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2780,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2781,"Mavalli,Bangalore",10,8000,5.5
2782,"Hemmigepura,Bangalore",3,1500,1.3
2783,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2784,"Yadavanahalli,Bangalore",8,4800,1.1
2785,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2786,"Cheemasandra,Bangalore",3,920,0.8
2787,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2788,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2789,"Margondanahalli,Bangalore",2,1000,1.2
2790,"Hancharahalli Village,Bangalore",3,1900,1.1
2791,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2792,"Kada Agrahara ,Bangalore",2,1050,0.75
2793,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2794,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2795,"Kattigenahalli,Bangalore",2,3000,1.08
2796,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2797,"Rajajinagar,Bangalore",7,5000,4.3
2798,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2799,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2800,"Yelahanka,Bangalore",5,4000,6.6
2801,"Mattanahalli,Bangalore",3,1450,0.79
2802,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2803,"Hemmigepura,Bangalore",3,1500,1.3
2804,"Mavalli,Bangalore",10,8000,5.5
2805,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2806,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2807,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2808,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2809,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2810,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2811,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2812,"Harapanahalli,Bangalore",4,6000,3.1
2813,"Yadavanahalli,Bangalore",8,4800,1.1
2814,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2815,"Cheemasandra,Bangalore",3,920,0.8
2816,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2817,"Yelahanka,Bangalore",5,4000,6.6
2818,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2819,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2820,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2821,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2822,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2823,"Kattigenahalli,Bangalore",2,3000,1.08
2824,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2825,"Margondanahalli,Bangalore",2,1000,1.2
2826,"Kada Agrahara ,Bangalore",2,1050,0.75
2827,"Rajajinagar,Bangalore",7,5000,4.3
2828,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2829,"Hancharahalli Village,Bangalore",3,1900,1.1
2830,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2831,"Mattanahalli,Bangalore",3,1450,0.79
2832,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2833,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2834,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2835,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2836,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2837,"Hemmigepura,Bangalore",3,1500,1.3
2838,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2839,"Mavalli,Bangalore",10,8000,5.5
2840,"Harapanahalli,Bangalore",4,6000,3.1
2841,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2842,"Cheemasandra,Bangalore",3,920,0.8
2843,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2844,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2845,"Yadavanahalli,Bangalore",8,4800,1.1
2846,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2847,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2848,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2849,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2850,"Kada Agrahara ,Bangalore",2,1050,0.75
2851,"Mattanahalli,Bangalore",3,1450,0.79
2852,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2853,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2854,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2855,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2856,"Mavalli,Bangalore",10,8000,5.5
2857,"Harapanahalli,Bangalore",4,6000,3.1
2858,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2859,"Yadavanahalli,Bangalore",8,4800,1.1
2860,"Hemmigepura,Bangalore",3,1500,1.3
2861,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2862,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2863,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2864,"Cheemasandra,Bangalore",3,920,0.8
2865,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2866,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2867,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2868,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2869,"Kattigenahalli,Bangalore",2,3000,1.08
2870,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2871,"Mattanahalli,Bangalore",3,1450,0.79
2872,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2873,"Hemmigepura,Bangalore",3,1500,1.3
2874,"Mavalli,Bangalore",10,8000,5.5
2875,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2876,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2877,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2878,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
